Trial,Condition,Conflict,Stimulation,Stimuli,Correct,ISI,FixStimTime,FixStimLength,NumStimTime,NumStimLength,RespStimTime,RespStimLength
1,2.0,0.0,0,313,1,4.0,-1,-1,-1,-1,-1,-1
2,1.0,1.0,0,100,1,2.5,-1,-1,-1,-1,-1,-1
3,1.0,0.0,0,003,3,3.25,-1,-1,-1,-1,-1,-1
4,1.0,0.0,0,020,2,2.75,-1,-1,-1,-1,-1,-1
5,2.0,2.0,0,232,3,2.0,-1,-1,-1,-1,-1,-1
6,2.0,3.0,0,211,2,3.75,-1,-1,-1,-1,-1,-1
7,2.0,3.0,0,221,1,3.0,-1,-1,-1,-1,-1,-1
8,1.0,1.0,0,003,3,3.25,-1,-1,-1,-1,-1,-1
9,1.0,0.0,0,020,2,4.0,-1,-1,-1,-1,-1,-1
10,1.0,0.0,0,100,1,4.0,-1,-1,-1,-1,-1,-1
11,2.0,2.0,0,232,3,3.25,-1,-1,-1,-1,-1,-1
12,2.0,3.0,0,313,1,2.0,-1,-1,-1,-1,-1,-1
13,1.0,1.0,0,100,1,2.25,-1,-1,-1,-1,-1,-1
14,1.0,0.0,0,003,3,3.5,-1,-1,-1,-1,-1,-1
15,2.0,2.0,0,313,1,2.75,-1,-1,-1,-1,-1,-1
16,2.0,3.0,0,232,3,4.0,-1,-1,-1,-1,-1,-1
17,1.0,1.0,0,020,2,3.25,-1,-1,-1,-1,-1,-1
18,2.0,2.0,0,332,2,4.0,-1,-1,-1,-1,-1,-1
19,1.0,1.0,0,020,2,3.5,-1,-1,-1,-1,-1,-1
20,1.0,0.0,0,003,3,3.75,-1,-1,-1,-1,-1,-1
21,2.0,2.0,0,232,3,3.0,-1,-1,-1,-1,-1,-1
22,2.0,3.0,0,332,2,2.5,-1,-1,-1,-1,-1,-1
23,2.0,3.0,0,221,1,2.25,-1,-1,-1,-1,-1,-1
24,1.0,1.0,0,100,1,2.0,-1,-1,-1,-1,-1,-1
25,1.0,0.0,0,100,1,2.25,-1,-1,-1,-1,-1,-1
26,2.0,2.0,0,311,3,3.25,-1,-1,-1,-1,-1,-1
27,2.0,3.0,0,221,1,4.0,-1,-1,-1,-1,-1,-1
28,2.0,3.0,0,332,2,2.25,-1,-1,-1,-1,-1,-1
29,1.0,1.0,0,003,3,3.75,-1,-1,-1,-1,-1,-1
30,1.0,0.0,0,020,2,2.0,-1,-1,-1,-1,-1,-1
31,2.0,2.0,0,313,1,2.25,-1,-1,-1,-1,-1,-1
32,2.0,3.0,0,311,3,2.0,-1,-1,-1,-1,-1,-1
33,1.0,1.0,0,100,1,3.5,-1,-1,-1,-1,-1,-1
34,1.0,0.0,0,003,3,2.5,-1,-1,-1,-1,-1,-1
35,2.0,2.0,0,232,3,4.0,-1,-1,-1,-1,-1,-1
36,2.0,3.0,0,221,1,3.0,-1,-1,-1,-1,-1,-1
37,1.0,1.0,0,020,2,3.25,-1,-1,-1,-1,-1,-1
38,2.0,2.0,0,232,3,4.0,-1,-1,-1,-1,-1,-1
39,1.0,1.0,0,003,3,3.75,-1,-1,-1,-1,-1,-1
40,1.0,0.0,0,100,1,2.5,-1,-1,-1,-1,-1,-1
41,2.0,2.0,0,311,3,3.5,-1,-1,-1,-1,-1,-1
42,2.0,3.0,0,232,3,3.0,-1,-1,-1,-1,-1,-1
43,1.0,1.0,0,020,2,2.75,-1,-1,-1,-1,-1,-1
44,1.0,0.0,0,020,2,3.75,-1,-1,-1,-1,-1,-1
45,2.0,2.0,0,211,2,4.0,-1,-1,-1,-1,-1,-1
46,1.0,1.0,0,100,1,4.0,-1,-1,-1,-1,-1,-1
47,1.0,0.0,0,003,3,3.25,-1,-1,-1,-1,-1,-1
48,1.0,0.0,0,100,1,2.0,-1,-1,-1,-1,-1,-1
49,2.0,2.0,0,311,3,3.0,-1,-1,-1,-1,-1,-1
50,2.0,3.0,0,313,1,3.5,-1,-1,-1,-1,-1,-1
51,1.0,1.0,0,003,3,4.0,-1,-1,-1,-1,-1,-1
52,1.0,0.0,0,020,2,2.0,-1,-1,-1,-1,-1,-1
53,1.0,0.0,0,003,3,2.5,-1,-1,-1,-1,-1,-1
54,2.0,2.0,0,232,3,2.25,-1,-1,-1,-1,-1,-1
55,1.0,1.0,0,020,2,3.5,-1,-1,-1,-1,-1,-1
56,2.0,2.0,0,311,3,3.25,-1,-1,-1,-1,-1,-1
57,1.0,1.0,0,100,1,3.75,-1,-1,-1,-1,-1,-1
58,2.0,2.0,0,311,3,3.0,-1,-1,-1,-1,-1,-1
59,2.0,3.0,0,221,1,2.75,-1,-1,-1,-1,-1,-1
60,2.0,3.0,0,313,1,4.0,-1,-1,-1,-1,-1,-1
61,1.0,1.0,0,003,3,3.25,-1,-1,-1,-1,-1,-1
62,2.0,2.0,0,332,2,2.5,-1,-1,-1,-1,-1,-1
63,2.0,3.0,0,211,2,3.5,-1,-1,-1,-1,-1,-1
64,2.0,3.0,0,221,1,4.0,-1,-1,-1,-1,-1,-1
